Parameters: 1931033
Epoch	Loss(Tr)	Loss(val)	mIOU (tr)	mIOU (val	
0		0.1270		0.0845		0.9109		0.9122		0.0005000
1		0.0618		0.0603		0.9413		0.9331		0.0005000
2		0.0359		0.0307		0.9598		0.9418		0.0005000
3		0.0369		0.0343		0.9566		0.9399		0.0005000
4		0.0334		0.0300		0.9592		0.9491		0.0005000
5		0.0269		0.0431		0.9648		0.9382		0.0005000
6		0.0381		0.0388		0.9534		0.9441		0.0005000
7		0.0201		0.0249		0.9710		0.9459		0.0005000
8		0.0328		0.0265		0.9587		0.9524		0.0005000
9		0.0322		0.0257		0.9581		0.9488		0.0005000
10		0.0200		0.0243		0.9707		0.9474		0.0005000
11		0.0180		0.0982		0.9729		0.9265		0.0005000
12		0.0180		0.0214		0.9729		0.9560		0.0005000
13		0.0235		0.0249		0.9675		0.9551		0.0005000
14		0.0201		0.2665		0.9708		0.8176		0.0005000
15		0.0195		0.0164		0.9716		0.9597		0.0005000
16		0.0193		0.0162		0.9718		0.9563		0.0005000
17		0.0158		0.0225		0.9755		0.9481		0.0005000
18		0.0229		0.0191		0.9682		0.9588		0.0005000
19		0.0159		0.0171		0.9751		0.9587		0.0005000
20		0.0155		0.0220		0.9758		0.9586		0.0005000
21		0.0155		0.0213		0.9757		0.9585		0.0005000
22		0.0148		0.0198		0.9765		0.9592		0.0005000
23		0.0570		0.0266		0.9426		0.9470		0.0005000
24		0.0205		0.0193		0.9712		0.9528		0.0005000
25		0.0188		0.0182		0.9727		0.9594		0.0005000
26		0.0173		0.0212		0.9740		0.9578		0.0005000
27		0.0158		0.0196		0.9756		0.9560		0.0005000
28		0.0144		0.0160		0.9769		0.9549		0.0005000
29		0.0172		0.0162		0.9744		0.9584		0.0005000
30		0.0141		0.0160		0.9774		0.9560		0.0005000
31		0.0166		0.0164		0.9747		0.9607		0.0005000
32		0.0141		0.0183		0.9773		0.9603		0.0005000
33		0.0134		0.0131		0.9780		0.9596		0.0005000
34		0.0132		0.0187		0.9783		0.9581		0.0005000
35		0.0222		0.0187		0.9692		0.9565		0.0005000
36		0.0153		0.0162		0.9762		0.9615		0.0005000
37		0.0144		0.0145		0.9771		0.9588		0.0005000
38		0.0128		0.0186		0.9788		0.9603		0.0005000
39		0.0271		0.0151		0.9643		0.9568		0.0005000
40		0.0148		0.0148		0.9765		0.9611		0.0005000
41		0.0137		0.0151		0.9778		0.9607		0.0005000
42		0.0132		0.0143		0.9783		0.9604		0.0005000
43		0.0130		0.0197		0.9785		0.9605		0.0005000
44		0.0127		0.0168		0.9787		0.9614		0.0005000
45		0.0141		0.0176		0.9775		0.9602		0.0005000
46		0.0127		0.0206		0.9790		0.9603		0.0005000
47		0.0126		0.0127		0.9790		0.9613		0.0005000
48		0.0234		0.0203		0.9679		0.9580		0.0005000
49		0.0192		0.0201		0.9718		0.9516		0.0005000
50		0.0139		0.0153		0.9776		0.9605		0.0002500
51		0.0131		0.0171		0.9784		0.9610		0.0002500
52		0.0126		0.0163		0.9790		0.9622		0.0002500
53		0.0124		0.0134		0.9793		0.9620		0.0002500
54		0.0122		0.0131		0.9794		0.9623		0.0002500
55		0.0119		0.0147		0.9797		0.9623		0.0002500
56		0.0200		0.1530		0.9732		0.8396		0.0002500
57		0.0708		0.4200		0.9276		0.6626		0.0002500
58		0.0486		2.3476		0.9451		0.1546		0.0002500
59		0.0284		2.7411		0.9621		0.1485		0.0002500
60		0.0249		3.0614		0.9658		0.1371		0.0002500
61		0.0247		3.3040		0.9667		0.1114		0.0002500
